order_id,date,product,region,quantity,unit_price,customer_id,discount,total_amount
ORD0000,2024-07-08,Laptop,East,1,1196.7912032530362,CUST151,0.26166625240172703,883.6313341904606
ORD0001,2024-02-08,Laptop,South,8,806.6731527223674,CUST164,0.03159969140172112,6249.460240274297
ORD0002,2024-11-17,Laptop,East,1,527.2169313802942,CUST134,0.1958068865594325,423.98422550530086
ORD0003,2024-07-04,Laptop,Central,8,888.5065031001635,CUST194,0.009670852905877625,7039.311099222129
ORD0004,2024-03-24,Laptop,West,5,522.16541027313,CUST200,0.26772789271794145,1911.8358266525279
ORD0005,2024-12-05,Keyboard,West,5,1301.4364060232579,CUST058,0.05582548209029553,6143.91545623574
ORD0006,2024-04-02,Monitor,East,10,394.65171782651646,CUST160,0.15209541132757884,3346.2700247255684
ORD0007,2024-12-27,Tablet,North,3,1675.1588882782978,CUST080,0.08554939237834158,4595.550189746734
ORD0008,2024-12-24,Tablet,South,10,222.5828657702166,CUST163,0.28486909125950455,1591.7588706831873
ORD0009,2024-02-05,Monitor,West,10,1587.4416366703801,CUST009,0.27678882840366315,11480.555258971921
ORD0010,2024-12-13,Laptop,East,3,873.9490126321209,CUST173,0.2684189511794712,1918.093605831218
ORD0011,2024-02-08,Phone,South,7,509.34488727146606,CUST095,0.09051766683508262,3242.681235228923
ORD0012,2024-08-16,Phone,West,4,500.4561677209523,CUST102,0.09369244854119164,1814.26881591854
ORD0013,2024-02-12,Monitor,Central,6,1275.3234130122141,CUST055,0.0819208576167182,7025.086951677441
ORD0014,2024-09-16,Phone,Central,8,1717.667236425546,CUST195,0.06217117258163657,12887.022801855286
ORD0015,2024-05-12,Keyboard,South,7,1530.4926779746177,CUST118,0.1960424678152701,8613.157814878905
ORD0016,2024-03-21,Laptop,East,2,1979.8527657081543,CUST043,0.1619402624084051,3318.4697785987382
ORD0017,2024-06-19,Monitor,West,2,441.86708148526367,CUST085,0.2580751964147714,655.6642952834649
ORD0018,2024-02-14,Tablet,South,5,920.5010028986601,CUST059,0.2986867258714166,3227.79786090752
ORD0019,2024-06-28,Monitor,East,7,1777.4967850023938,CUST150,0.003597250213298231,12397.71879019385
ORD0020,2024-10-11,Phone,North,4,397.324818337051,CUST197,0.1457466858687289,1357.6641714041243
ORD0021,2024-03-07,Laptop,West,4,506.834078610155,CUST079,0.025649885705911844,1975.3353696877737
ORD0022,2024-01-04,Tablet,West,4,438.8935781955787,CUST032,0.1267678524644875,1533.0239273090822
ORD0023,2024-10-19,Tablet,North,8,362.1695091892828,CUST065,0.19136298129636908,2342.9093774094313
ORD0024,2024-12-07,Phone,West,2,1747.8005346861294,CUST036,0.015524680677883805,3441.3329789929853
ORD0025,2024-07-24,Tablet,South,1,1876.0414775637244,CUST038,0.1135951704831618,1662.9322260863903
ORD0026,2024-06-05,Tablet,South,9,816.7751313092934,CUST023,0.1533731050119134,6223.534139914865
ORD0027,2024-11-21,Keyboard,West,8,521.3574442056965,CUST094,0.11295929066403158,3699.7222170064692
ORD0028,2024-07-12,Phone,Central,1,543.5692548867501,CUST091,0.078741668491929,500.76770481605274
ORD0029,2024-12-20,Tablet,North,8,931.382400874272,CUST192,0.06494288485137456,6967.165926893579
ORD0030,2024-11-08,Keyboard,West,9,1891.285259508672,CUST067,0.22817532967081777,13137.665597268504
ORD0031,2024-03-26,Phone,East,6,951.0780590655932,CUST187,0.20988295060287515,4508.777938651505
ORD0032,2024-11-02,Laptop,North,3,560.7999608802943,CUST123,0.29568604814542127,1184.9377099424796
ORD0033,2024-09-14,Keyboard,South,4,1772.1569651188652,CUST115,0.26028954436853335,5243.532144474211
ORD0034,2024-10-09,Phone,West,8,802.8471823841759,CUST055,0.09551540311894309,5809.30328092675
ORD0035,2024-09-25,Tablet,North,8,1609.0898347930085,CUST026,0.1384520908694337,11090.46386215332
ORD0036,2024-09-26,Laptop,East,3,250.79247501048775,CUST157,0.2327886395635458,577.2325078200652
ORD0037,2024-10-20,Tablet,East,6,172.1730098485192,CUST184,0.20736970598867033,818.817260502284
ORD0038,2024-08-03,Laptop,South,3,1235.6585627778977,CUST029,0.04234449508503286,3550.0056745187107
ORD0039,2024-10-26,Monitor,West,9,1577.6235357631726,CUST037,0.19241559557608343,11466.577471810097
ORD0040,2024-08-04,Tablet,West,4,1287.34757151677,CUST124,0.16927623852391552,4277.720867750055
ORD0041,2024-07-05,Laptop,Central,5,1235.927202755867,CUST114,0.2660460293421238,4535.568389533753
ORD0042,2024-10-08,Tablet,Central,10,1871.301384788389,CUST047,0.13520077143176587,16182.999939836669
ORD0043,2024-07-10,Phone,Central,1,636.7021202678867,CUST165,0.05526003225130514,601.5179405674089
ORD0044,2024-11-28,Tablet,East,2,1716.0295663065824,CUST111,0.2531685023214744,2563.169862130751
ORD0045,2024-03-22,Monitor,South,4,1521.2092629741242,CUST064,0.09013383237921667,5536.387369006011
ORD0046,2024-02-26,Monitor,North,6,1998.2793844077048,CUST129,0.010267673184439373,11866.570228544422
ORD0047,2024-02-10,Monitor,West,4,1975.9533617125376,CUST004,0.04031822842617688,7585.145690862157
ORD0048,2024-02-28,Tablet,West,3,1721.7564789718942,CUST155,0.10073438971811696,4644.9491724583395
ORD0049,2024-06-03,Phone,North,1,1989.8866211500406,CUST012,0.14855926160980137,1694.270534024768
ORD0050,2024-09-17,Monitor,North,9,1278.534742443729,CUST169,0.18058524348419389,9428.852112088745
ORD0051,2024-08-09,Keyboard,West,8,725.6849116524982,CUST122,0.11430160912774805,5141.90366824712
ORD0052,2024-06-08,Monitor,West,8,898.5202338329182,CUST014,0.29410329539976343,5074.099776634327
ORD0053,2024-05-25,Keyboard,South,4,893.4581097982451,CUST019,0.11970050095571905,3146.042905889781
ORD0054,2024-04-02,Keyboard,Central,10,1184.8385285352167,CUST182,0.07102962564107052,11006.798914082434
ORD0055,2024-10-27,Laptop,Central,9,441.49825134605453,CUST143,0.10228113596997611,3567.071778026598
ORD0056,2024-02-25,Laptop,East,7,785.1834419822604,CUST025,0.20873591350190138,4349.012212674683
ORD0057,2024-10-15,Phone,East,7,891.1533771753069,CUST162,0.2616841214567928,4605.6688201015295
ORD0058,2024-11-15,Keyboard,East,5,436.2306363780123,CUST001,0.16987130494533945,1810.6378445967175
ORD0059,2024-11-15,Laptop,West,3,1754.4806831998842,CUST125,0.08946984063997596,4792.522728204223
ORD0060,2024-10-04,Phone,East,3,1237.323747257045,CUST151,0.2124592032346042,2923.3287893146753
ORD0061,2024-07-09,Monitor,North,5,1323.9151214478504,CUST024,0.2463941998357695,4988.550572241159
ORD0062,2024-06-28,Keyboard,South,9,1353.3695619713376,CUST009,0.02401079240438563,11887.866777351866
ORD0063,2024-01-13,Laptop,South,5,1502.1731845680301,CUST126,0.1104076942487495,6681.608534487863
ORD0064,2024-03-28,Phone,West,7,1714.5487064628142,CUST126,0.20717623611745806,9515.344711724543
ORD0065,2024-01-01,Tablet,East,9,578.2927124976172,CUST088,0.10082043660741187,4679.900898630507
ORD0066,2024-06-02,Laptop,South,2,956.2197363401667,CUST141,0.2194540051563927,1492.7469707814546
ORD0067,2024-05-20,Monitor,West,6,1203.3012108331818,CUST183,0.2243891735425043,5599.760679669776
ORD0068,2024-12-24,Phone,East,8,920.3348265055897,CUST023,0.026104845391626285,7170.477025209057
ORD0069,2024-03-10,Tablet,West,5,1139.3251611467804,CUST153,0.18411913431453136,4647.767993868356
ORD0070,2024-10-12,Phone,South,1,283.47402834035944,CUST161,0.19088093336265563,229.36424122667972
ORD0071,2024-03-19,Phone,Central,5,721.584747589336,CUST088,0.1466345870200277,3078.8773306331136
ORD0072,2024-01-08,Phone,Central,2,102.75582763195828,CUST080,0.2950875912668815,144.86771593481768
ORD0073,2024-08-04,Tablet,East,3,1816.369883568535,CUST108,0.1988434133110863,4365.59008825292
ORD0074,2024-04-27,Phone,East,1,793.4826382925218,CUST127,0.2497326985225735,595.3240778009192
ORD0075,2024-02-28,Phone,East,9,670.273758085345,CUST060,0.24365883158330476,4562.6007361438715
ORD0076,2024-09-03,Tablet,Central,1,491.3615129124634,CUST033,0.2735736249484196,356.9379626648612
ORD0077,2024-03-02,Keyboard,South,9,485.09898456985763,CUST175,0.1359378333638596,3772.401116763806
ORD0078,2024-01-27,Keyboard,North,9,1183.5090546337278,CUST138,0.2263537836719431,8240.55571896641
ORD0079,2024-07-23,Laptop,Central,7,192.42347763266577,CUST134,0.03527416394531983,1299.4513023500579
ORD0080,2024-06-12,Laptop,South,9,456.520627548773,CUST114,0.2548186990555781,3061.7157163028273
ORD0081,2024-03-28,Tablet,East,10,647.6835463466671,CUST013,0.0351657833982457,6249.0724704523245
ORD0082,2024-09-09,Tablet,East,10,451.6252107815183,CUST036,0.1861474732625172,3675.563189328869
ORD0083,2024-11-17,Tablet,West,5,1986.6312151235843,CUST028,0.031077597561465695,9624.457448584639
ORD0084,2024-01-13,Tablet,North,7,1910.7243366089313,CUST132,0.1631222100589609,11193.299320054883
ORD0085,2024-11-15,Phone,West,3,1391.4989916911786,CUST099,0.06304754121508645,3911.3052049853336
ORD0086,2024-07-11,Laptop,Central,1,621.5283213023419,CUST160,0.060460287117454777,583.9505405447726
ORD0087,2024-09-20,Laptop,North,10,1918.1700039845387,CUST055,0.06529791216916102,17929.175075388368
ORD0088,2024-02-02,Tablet,Central,9,1022.283689405177,CUST192,0.011810730268367842,9091.887952426743
ORD0089,2024-01-03,Tablet,North,3,115.55887925265017,CUST037,0.1798361206688513,284.3316560970401
ORD0090,2024-10-07,Phone,Central,4,1663.8644304518127,CUST089,0.10898280466346212,5930.127272965601
ORD0091,2024-12-18,Keyboard,East,10,964.6733784672675,CUST099,0.04290865147916177,9232.8054467939
ORD0092,2024-12-14,Keyboard,South,5,1919.9649601518104,CUST119,0.019038677254426994,9417.056834678357
ORD0093,2024-04-17,Tablet,Central,8,943.1318866571714,CUST032,0.025285495016946047,7354.274640294228
ORD0094,2024-08-25,Tablet,West,1,741.0271456873174,CUST158,0.015617786549722911,729.4539418984225
ORD0095,2024-09-03,Phone,West,8,348.7765474054689,CUST181,0.28674261409624946,1990.139587735682
ORD0096,2024-05-07,Keyboard,East,6,861.092415844538,CUST100,0.2732804148412833,3754.636339355159
ORD0097,2024-05-17,Laptop,West,6,1813.5192103573777,CUST039,0.06384955697579524,10186.360873253792
ORD0098,2024-10-20,Keyboard,West,1,1719.7861338654004,CUST020,0.25603359975558193,1279.4630992021068
ORD0099,2024-01-09,Tablet,South,1,1705.8764426126422,CUST133,0.0898726600876677,1552.5647889341565
ORD0100,2024-10-10,Keyboard,South,10,101.18850912453753,CUST049,0.07424157042233429,936.7611529843716
ORD0101,2024-06-15,Monitor,North,8,716.4030150816109,CUST066,0.28979633631868046,4070.3363678664296
ORD0102,2024-11-24,Monitor,North,7,1434.890707142937,CUST058,0.07152376933073222,9325.83340633304
ORD0103,2024-08-16,Monitor,Central,5,330.2167353331855,CUST121,0.07674028932230954,1524.3790376232416
ORD0104,2024-01-02,Laptop,East,3,1604.996302005979,CUST130,0.1534906045587276,4075.933347889678
ORD0105,2024-09-01,Laptop,West,8,1163.0861730422293,CUST033,0.036747024143286296,8962.769738885792
ORD0106,2024-09-19,Phone,West,3,1388.0042318670692,CUST136,0.21067543729784846,3286.7575000416305
ORD0107,2024-05-25,Keyboard,North,5,1449.4482377323018,CUST023,0.14113736474256483,6224.38466564005
ORD0108,2024-06-26,Tablet,East,8,1437.7453266801797,CUST009,0.00201948562341695,11478.734565302513
ORD0109,2024-02-24,Keyboard,North,6,1468.0071635227907,CUST105,0.16895654175165098,7319.866499443978
ORD0110,2024-03-15,Monitor,West,5,303.70404165215854,CUST180,0.02768608319441148,1476.4783314424894
ORD0111,2024-05-03,Keyboard,Central,5,1918.8256279158863,CUST108,0.1514861799884449,8140.750317394898
ORD0112,2024-08-15,Phone,East,3,362.23734485635407,CUST142,0.11050459132151932,966.6253653048312
ORD0113,2024-11-17,Keyboard,North,3,1400.847748915147,CUST141,0.27918720562313737,3029.2469411761945
ORD0114,2024-07-15,Keyboard,North,4,1604.355104484787,CUST066,0.04033524473196681,6158.572194833652
ORD0115,2024-09-05,Tablet,South,10,1454.4831693784424,CUST092,0.16420342692873827,12156.520485563298
ORD0116,2024-12-26,Laptop,West,5,125.48024678590055,CUST118,0.07822335219936677,578.3238062375179
ORD0117,2024-12-07,Monitor,East,1,275.0347178349951,CUST090,0.0704644889664791,255.6545369947124
ORD0118,2024-04-11,Phone,Central,6,1580.5859610209998,CUST002,0.05708674928028037,8942.132679289578
ORD0119,2024-02-22,Monitor,South,6,1957.75150200951,CUST173,0.2868155512585282,8377.427554400645
ORD0120,2024-11-04,Phone,West,3,1652.6189297514043,CUST118,0.19434755617043278,3994.309438419668
ORD0121,2024-09-26,Monitor,North,9,453.4445341063107,CUST008,0.0665988172540309,3809.210980000728
ORD0122,2024-08-08,Monitor,Central,10,699.9860630444443,CUST094,0.19913313213975964,5605.956458562249
ORD0123,2024-05-11,Tablet,Central,8,1640.5735241348407,CUST133,0.22088797775287863,10225.524448270258
ORD0124,2024-10-04,Tablet,West,3,1817.9312426608305,CUST024,0.0033928657324910684,5435.289738130745
ORD0125,2024-05-12,Monitor,West,3,685.9593148419075,CUST147,0.11155250939063972,1828.3164957942263
ORD0126,2024-06-22,Tablet,North,7,188.3122473994231,CUST198,0.12453310938181755,1154.0279638726638
ORD0127,2024-06-06,Monitor,South,5,976.1392383009957,CUST197,0.2580405017360648,3621.278897427733
ORD0128,2024-11-25,Keyboard,North,10,1324.834107590948,CUST022,0.1318192005994173,11501.955346014669
ORD0129,2024-06-04,Keyboard,Central,8,1983.9410748978557,CUST195,0.21090661003776182,12524.118306211805
ORD0130,2024-11-12,Laptop,South,1,1248.0129534819355,CUST062,0.15726232437015883,1051.7475355732993
ORD0131,2024-08-25,Monitor,West,2,522.0566097631088,CUST007,0.20290346281584692,832.2590317125455
ORD0132,2024-06-13,Monitor,East,10,1879.180625870574,CUST132,0.14889936545047633,15993.718231116165
ORD0133,2024-09-17,Phone,Central,9,1614.0931949331214,CUST139,0.04211347574383647,13915.063082880124
ORD0134,2024-03-06,Keyboard,South,10,1935.1775796978818,CUST184,0.0033508004388157265,19286.931858146436
ORD0135,2024-09-05,Laptop,Central,3,1465.2249684364085,CUST025,0.2538093372355122,3280.0115708899184
ORD0136,2024-12-16,Tablet,West,5,464.61403265334565,CUST124,0.15783700874359022,1956.4037175952242
ORD0137,2024-09-28,Tablet,South,1,1212.9876894665626,CUST026,0.17718576863539637,998.0635333631562
ORD0138,2024-01-13,Laptop,West,6,500.7352895900797,CUST137,0.023166337357753718,2934.81052166702
ORD0139,2024-04-15,Monitor,South,6,253.5384234619398,CUST027,0.06690142733211006,1419.4580462928186
ORD0140,2024-09-28,Monitor,North,4,1558.8125574858543,CUST062,0.19049255281800864,5047.48149618242
